segment_id,start_time,end_time,duration,speaker_id,gender,gender_confidence,pitch_mean,energy_mean
0,0.0,9.686467741935484,9.686467741935484,UNKNOWN,KADIN,0.42,266.1,0.004
1,9.686467741935484,19.372935483870968,9.686467741935484,UNKNOWN,KADIN,0.63,234.0,0.007
2,19.372935483870968,29.059403225806452,9.686467741935484,UNKNOWN,KADIN,0.63,235.3,0.01
3,29.059403225806452,38.745870967741936,9.686467741935484,UNKNOWN,KADIN,0.6,281.0,0.013
4,38.745870967741936,48.432338709677424,9.686467741935488,UNKNOWN,KADIN,0.63,237.7,0.009
5,48.432338709677424,58.11880645161291,9.686467741935488,UNKNOWN,KADIN,0.6,281.8,0.011
6,58.118806451612905,67.80527419354839,9.68646774193548,UNKNOWN,KADIN,0.6,256.4,0.015
7,67.80527419354839,77.49174193548387,9.686467741935488,UNKNOWN,KADIN,0.6,299.3,0.013
8,77.49174193548387,87.17820967741936,9.686467741935488,UNKNOWN,BELIRSIZ,0.1,321.8,0.015
9,87.17820967741936,96.86467741935485,9.686467741935488,UNKNOWN,KADIN,0.63,228.9,0.008
10,96.86467741935485,106.55114516129034,9.686467741935488,UNKNOWN,KADIN,0.42,267.8,0.015
11,106.55114516129032,116.23761290322581,9.686467741935488,UNKNOWN,KADIN,0.6,274.1,0.022
12,116.23761290322581,125.9240806451613,9.686467741935488,UNKNOWN,BELIRSIZ,0.1,268.9,0.023
13,125.9240806451613,135.61054838709677,9.686467741935473,UNKNOWN,KADIN,0.6,279.6,0.029
14,135.61054838709677,145.29701612903224,9.686467741935473,UNKNOWN,KADIN,0.42,306.0,0.031
15,145.29701612903227,154.98348387096775,9.686467741935473,UNKNOWN,KADIN,0.63,252.5,0.012
16,154.98348387096775,164.66995161290322,9.686467741935473,UNKNOWN,KADIN,0.42,256.5,0.012
17,164.66995161290322,174.3564193548387,9.686467741935473,UNKNOWN,KADIN,0.6,276.8,0.019
18,174.35641935483872,184.0428870967742,9.686467741935473,UNKNOWN,KADIN,0.6,266.2,0.024
19,184.0428870967742,193.72935483870967,9.686467741935473,UNKNOWN,BELIRSIZ,0.1,309.6,0.019
20,193.7293548387097,203.41582258064517,9.686467741935473,UNKNOWN,KADIN,0.42,269.6,0.007
21,203.41582258064517,213.10229032258064,9.686467741935473,UNKNOWN,KADIN,0.6,172.7,0.005
22,213.10229032258064,222.78875806451612,9.686467741935473,UNKNOWN,BELIRSIZ,0.1,104.9,0.014
23,222.78875806451614,232.47522580645162,9.686467741935473,UNKNOWN,KADIN,0.6,287.3,0.02
24,232.47522580645162,242.1616935483871,9.686467741935473,UNKNOWN,KADIN,0.42,260.9,0.007
25,242.1616935483871,251.84816129032257,9.686467741935473,UNKNOWN,KADIN,0.63,234.0,0.019
26,251.8481612903226,261.53462903225807,9.686467741935473,UNKNOWN,KADIN,0.9,245.4,0.026
27,261.53462903225807,271.22109677419354,9.686467741935473,UNKNOWN,BELIRSIZ,0.1,0.0,0.019
28,271.22109677419354,280.907564516129,9.686467741935473,UNKNOWN,BELIRSIZ,0.1,156.3,0.012
29,280.907564516129,290.5940322580645,9.686467741935473,UNKNOWN,BELIRSIZ,0.1,216.2,0.009
30,290.59403225806454,300.2805,9.686467741935473,UNKNOWN,BELIRSIZ,0.1,0.0,0.0
