segment_id,start_time,end_time,duration,speaker_id,pitch_mean,energy_mean
0,0.51,9.41,8.9,SPK_01,222.5,0.093
1,9.41,18.32,8.9,SPK_01,282.5,0.076
2,18.32,27.22,8.9,SPK_01,214.4,0.06
3,27.22,36.12,8.9,SPK_01,237.4,0.07
4,36.12,45.03,8.9,SPK_01,244.9,0.074
5,45.03,53.93,8.9,SPK_01,162.3,0.06
6,53.93,62.83,8.9,SPK_01,229.8,0.061
7,62.83,71.74,8.9,SPK_01,210.1,0.061
8,71.74,80.64,8.9,SPK_01,219.8,0.077
9,81.15,85.41,4.26,SPK_01,332.4,0.061
10,86.56,92.15,5.59,SPK_03,221.0,0.086
11,92.15,97.74,5.59,SPK_03,219.7,0.101
12,98.89,108.4,9.51,SPK_01,141.3,0.063
13,109.5,117.11,7.61,SPK_03,202.8,0.09
14,117.61,119.96,2.35,SPK_02,332.4,0.056
15,120.88,127.95,7.07,SPK_01,263.7,0.088
16,128.47,136.0,7.53,SPK_01,228.9,0.069
17,136.0,143.54,7.53,SPK_01,205.2,0.067
18,143.54,151.08,7.53,SPK_01,249.1,0.078
19,151.08,158.61,7.53,SPK_01,224.6,0.073
20,159.19,162.14,2.95,SPK_01,284.6,0.09
